Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1	Fret_2	Idl_2	Donor_2	Acceptor_2	Fret_3	Idl_3	Donor_3	Acceptor_3	Fret_4	Idl_4	Donor_4	Acceptor_4	Fret_5	Idl_5	Donor_5	Acceptor_5	Fret_6	Idl_6	Donor_6	Acceptor_6	Fret_7	Idl_7	Donor_7	Acceptor_7	Fret_8	Idl_8	Donor_8	Acceptor_8	Fret_9	Idl_9	Donor_9	Acceptor_9	Fret_10	Idl_10	Donor_10	Acceptor_10	Fret_11	Idl_11	Donor_11	Acceptor_11	Fret_12	Idl_12	Donor_12	Acceptor_12	Fret_13	Idl_13	Donor_13	Acceptor_13	Fret_14	Idl_14	Donor_14	Acceptor_14	Fret_15	Idl_15	Donor_15	Acceptor_15	Fret_16	Idl_16	Donor_16	Acceptor_16	Fret_17	Idl_17	Donor_17	Acceptor_17	Fret_18	Idl_18	Donor_18	Acceptor_18	Fret_19	Idl_19	Donor_19	Acceptor_19	Fret_20	Idl_20	Donor_20	Acceptor_20	Fret_21	Idl_21	Donor_21	Acceptor_21	Fret_22	Idl_22	Donor_22	Acceptor_22	Fret_23	Idl_23	Donor_23	Acceptor_23	Fret_24	Idl_24	Donor_24	Acceptor_24	Fret_25	Idl_25	Donor_25	Acceptor_25	Fret_26	Idl_26	Donor_26	Acceptor_26
0	4.549703e-01	0	1.859736e+02	1.552438e+02	8.321929e-01	0	1.010241e+02	5.010011e+02	1.884071e-01	0	3.168511e+02	7.355533e+01	4.370605e-01	0	2.182052e+02	1.694123e+02	5.931635e-01	0	1.895748e+02	2.763983e+02	4.638695e-01	0	2.262037e+02	1.957154e+02	7.967800e-01	0	3.785187e+01	1.484086e+02	1.918150e-01	0	1.611241e+02	3.824126e+01	7.890638e-01	0	1.090953e+02	4.081005e+02	4.943012e-01	0	1.681373e+02	1.643477e+02	6.061549e-01	0	1.295816e+02	1.994351e+02	8.409076e-01	0	4.296738e+01	2.271108e+02	1.796360e-01	0	2.713794e+02	5.942426e+01	4.953424e-01	0	1.399097e+02	1.373272e+02	4.860215e-01	0	2.047661e+02	1.936282e+02	6.395521e-01	0	8.511938e+01	1.510296e+02	5.427248e-01	0	2.253980e+02	2.675174e+02	5.929961e-01	0	1.649631e+02	2.403478e+02	6.094244e-01	0	6.596777e+01	1.029311e+02	9.349032e-01	0	2.723257e+01	3.911072e+02	7.561582e-01	0	8.398370e+01	2.604351e+02	8.796133e-01	0	3.208600e+01	2.344386e+02	6.328033e-01	0	1.667104e+02	2.872979e+02	1.579966e-01	0	4.294166e+02	8.057728e+01	3.944943e-01	0	2.511648e+02	1.636369e+02	3.375551e-01	0	2.010580e+02	1.024510e+02	
5.000000e-02	5.400742e-01	0	1.541109e+02	1.809668e+02	7.659772e-01	0	1.382790e+02	4.525992e+02	3.522947e-01	0	2.443021e+02	1.328788e+02	3.907741e-01	0	2.240876e+02	1.437359e+02	5.770037e-01	0	1.704572e+02	2.325184e+02	4.595043e-01	0	1.987527e+02	1.689703e+02	8.846973e-01	0	1.873422e+01	1.437444e+02	2.047290e-01	0	2.287711e+02	5.889323e+01	7.317834e-01	0	1.331149e+02	3.631814e+02	2.572539e-01	0	3.524510e+02	1.220732e+02	8.768154e-01	0	2.909144e+01	2.070699e+02	7.199451e-01	0	8.512425e+01	2.188314e+02	1.924162e-01	0	2.218696e+02	5.286298e+01	5.188278e-01	0	1.256940e+02	1.355306e+02	4.663457e-01	0	2.503543e+02	2.187777e+02	6.409606e-01	0	1.091390e+02	1.948359e+02	5.100979e-01	0	2.347117e+02	2.443875e+02	1.808054e-01	0	3.095709e+02	6.832578e+01	6.486285e-01	0	8.410503e+01	1.552571e+02	8.776672e-01	0	4.635022e+01	3.325362e+02	8.858045e-01	0	3.300330e+01	2.560037e+02	9.621682e-01	0	1.198797e+01	3.048872e+02	4.111319e-01	0	2.279849e+02	1.591729e+02	2.821372e-01	0	2.818676e+02	1.107807e+02	3.804522e-01	0	2.996943e+02	1.840364e+02	4.731215e-01	0	1.515482e+02	1.360858e+02	
1.000000e-01	3.694569e-01	0	2.394050e+02	1.402757e+02	8.006802e-01	0	1.127888e+02	4.530796e+02	1.656116e-01	0	2.898903e+02	5.753817e+01	2.945506e-01	0	2.142836e+02	8.947115e+01	8.221365e-01	0	7.339837e+01	3.392684e+02	5.406722e-01	0	1.776742e+02	2.091394e+02	8.654687e-01	0	5.304795e+01	3.412689e+02	4.427975e-01	0	1.513201e+02	1.202511e+02	8.511879e-01	0	6.889924e+01	3.940956e+02	2.725025e-01	0	2.720588e+02	1.019065e+02	5.549999e-01	0	1.379150e+02	1.720062e+02	7.137845e-01	0	8.218307e+01	2.049539e+02	2.592984e-01	0	2.444186e+02	8.556396e+01	6.649898e-01	0	8.892934e+01	1.765233e+02	3.896501e-01	0	2.876092e+02	1.836110e+02	5.515081e-01	0	1.385508e+02	1.703752e+02	4.238167e-01	0	2.401039e+02	1.766105e+02	4.036436e-01	0	2.531984e+02	1.713772e+02	5.470570e-01	0	1.228305e+02	1.483527e+02	9.247946e-01	0	3.997767e+01	4.916023e+02	8.691204e-01	0	4.672880e+01	3.103076e+02	8.540653e-01	0	4.434090e+01	2.594999e+02	4.640644e-01	0	2.794554e+02	2.419793e+02	2.234938e-01	0	3.676519e+02	1.058175e+02	2.724727e-01	0	3.482236e+02	1.304163e+02	4.817633e-01	0	1.319404e+02	1.226545e+02	
1.500000e-01	4.061415e-01	0	1.707775e+02	1.167952e+02	6.814246e-01	0	1.593574e+02	3.408615e+02	2.488101e-01	0	2.443021e+02	8.091807e+01	5.366741e-01	0	2.128130e+02	2.465030e+02	7.099404e-01	0	8.614346e+01	2.108419e+02	5.970375e-01	0	1.453213e+02	2.153110e+02	1.094354e+00	0	-2.538342e+01	2.944062e+02	2.959202e-01	0	1.939672e+02	8.152313e+01	7.824979e-01	0	1.110561e+02	3.995417e+02	4.493642e-01	0	2.509804e+02	2.048207e+02	6.344441e-01	0	9.330712e+01	1.619400e+02	7.689102e-01	0	7.139876e+01	2.375666e+02	4.224165e-01	0	1.586342e+02	1.160174e+02	6.773255e-01	0	5.755679e+01	1.208174e+02	4.001681e-01	0	2.287857e+02	1.526306e+02	5.292908e-01	0	1.155116e+02	1.298874e+02	5.944469e-01	0	1.602019e+02	2.348189e+02	3.754122e-01	0	3.340807e+02	2.008013e+02	5.513648e-01	0	1.238109e+02	1.521615e+02	8.514381e-01	0	6.399728e+01	3.667813e+02	7.862892e-01	0	7.221899e+01	2.657096e+02	7.566181e-01	0	6.443895e+01	2.003259e+02	6.592389e-01	0	1.681809e+02	3.253641e+02	1.497114e-01	0	3.504951e+02	6.171210e+01	4.106911e-01	0	2.570472e+02	1.791369e+02	4.383774e-01	0	1.736071e+02	1.355099e+02	
2.000000e-01	6.363673e-01	0	1.178363e+02	2.062168e+02	7.350820e-01	0	1.490633e+02	4.136139e+02	2.093921e-01	0	3.153805e+02	8.352837e+01	4.813495e-01	0	1.667346e+02	1.547432e+02	3.957993e-01	0	2.631042e+02	1.723541e+02	5.583469e-01	0	1.394389e+02	1.762816e+02	7.890234e-01	0	7.510678e+01	2.808890e+02	4.475543e-01	0	1.694574e+02	1.372829e+02	7.747865e-01	0	1.125267e+02	3.871177e+02	3.038121e-01	0	3.215686e+02	1.403305e+02	7.894517e-01	0	5.115026e+01	1.917881e+02	6.601633e-01	0	7.728111e+01	1.501255e+02	2.248795e-01	0	2.914774e+02	8.456398e+01	2.922261e-01	0	1.364783e+02	5.634925e+01	3.836124e-01	0	2.327072e+02	1.448267e+02	6.347775e-01	0	1.008057e+02	1.752060e+02	4.609140e-01	0	2.155941e+02	1.843311e+02	8.774183e-01	0	5.810037e+01	4.158723e+02	6.644157e-01	0	1.100854e+02	2.179556e+02	7.319512e-01	0	9.978159e+01	2.724700e+02	9.293282e-01	0	2.172879e+01	2.857317e+02	8.580507e-01	0	4.924287e+01	2.976617e+02	6.030242e-01	0	2.196515e+02	3.336607e+02	2.994207e-01	0	3.308872e+02	1.414180e+02	3.149070e-01	0	3.188119e+02	1.465438e+02	5.828651e-01	0	1.167443e+02	1.631275e+02	
2.500000e-01	5.071828e-01	0	1.732285e+02	1.782781e+02	7.614250e-01	0	1.382790e+02	4.413247e+02	1.715841e-01	0	3.384197e+02	7.009454e+01	3.031002e-01	0	2.280091e+02	9.916722e+01	6.241624e-01	0	1.533003e+02	2.545895e+02	4.766242e-01	0	2.075762e+02	1.890340e+02	8.333071e-01	0	4.961658e+01	2.480361e+02	2.900913e-01	0	2.067123e+02	8.446921e+01	7.424607e-01	0	1.272326e+02	3.667990e+02	3.366567e-01	0	3.029412e+02	1.537472e+02	6.974637e-01	0	8.693457e+01	2.004180e+02	7.325608e-01	0	7.924190e+01	2.170569e+02	3.038305e-01	0	1.723597e+02	7.522328e+01	4.541211e-01	0	1.149097e+02	9.559435e+01	4.744641e-01	0	2.287857e+02	2.065522e+02	7.252138e-01	0	9.345273e+01	2.466398e+02	5.039263e-01	0	2.165744e+02	2.200027e+02	7.395085e-01	0	1.335906e+02	3.792498e+02	5.635737e-01	0	1.277325e+02	1.649458e+02	7.568426e-01	0	8.311492e+01	2.587004e+02	9.454070e-01	0	1.976801e+01	3.423297e+02	6.636211e-01	0	9.973307e+01	1.967572e+02	7.219534e-01	0	1.343574e+02	3.488616e+02	2.348336e-01	0	3.382402e+02	1.038077e+02	3.089346e-01	0	3.006746e+02	1.344139e+02	2.487448e-01	0	2.584110e+02	8.556133e+01	
3.000000e-01	4.236298e-01	0	1.864638e+02	1.370501e+02	8.469283e-01	0	7.210250e+01	3.989350e+02	2.392609e-01	0	2.663609e+02	8.377347e+01	3.222113e-01	0	2.289895e+02	1.088584e+02	6.704544e-01	0	1.405552e+02	2.859571e+02	7.189829e-01	0	1.036546e+02	2.652007e+02	8.858714e-01	0	4.030285e+01	3.128326e+02	3.276738e-01	0	2.057319e+02	1.002682e+02	8.143235e-01	0	8.507571e+01	3.731177e+02	2.961287e-01	0	2.156863e+02	9.074229e+01	8.028336e-01	0	5.997379e+01	2.442048e+02	7.013627e-01	0	7.728111e+01	1.814980e+02	4.023031e-01	0	1.728499e+02	1.163434e+02	4.578817e-01	0	1.389293e+02	1.173419e+02	5.236202e-01	0	2.135896e+02	2.347704e+02	7.317300e-01	0	8.364880e+01	2.281595e+02	4.817918e-01	0	2.499078e+02	2.323458e+02	7.691514e-01	0	1.321200e+02	4.402032e+02	5.492287e-01	0	1.306736e+02	1.592154e+02	7.370650e-01	0	1.463502e+02	4.102519e+02	8.818002e-01	0	2.957193e+01	2.206140e+02	7.678592e-01	0	6.541934e+01	2.163896e+02	4.355295e-01	0	2.804359e+02	2.163764e+02	2.084771e-01	0	3.784362e+02	9.967531e+01	3.681685e-01	0	2.815570e+02	1.640634e+02	3.133229e-01	0	2.275286e+02	1.038187e+02	
3.500000e-01	5.337189e-01	0	1.320520e+02	1.511506e+02	9.232492e-01	0	3.288682e+01	3.956017e+02	3.091432e-01	0	2.879295e+02	1.288421e+02	3.883165e-01	0	1.809503e+02	1.148731e+02	6.766880e-01	0	1.175160e+02	2.459595e+02	6.102591e-01	0	1.467919e+02	2.298477e+02	8.641586e-01	0	4.765580e+01	3.031635e+02	4.924423e-01	0	1.674966e+02	1.625084e+02	8.245765e-01	0	8.409531e+01	3.952892e+02	5.370163e-01	0	1.813725e+02	2.103746e+02	8.844065e-01	0	3.252281e+01	2.488322e+02	5.696973e-01	0	1.091439e+02	1.445005e+02	4.057648e-01	0	1.811833e+02	1.237184e+02	5.334985e-01	0	1.394195e+02	1.594424e+02	4.610773e-01	0	2.111386e+02	1.806404e+02	7.764981e-01	0	8.413899e+01	2.923188e+02	4.219702e-01	0	2.631431e+02	1.920983e+02	5.550971e-01	0	2.223161e+02	2.773797e+02	7.109030e-01	0	7.626189e+01	1.875316e+02	7.279176e-01	0	9.684042e+01	2.590827e+02	9.712868e-01	0	9.473888e+00	3.204743e+02	7.448401e-01	0	6.345855e+01	1.852426e+02	3.935806e-01	0	3.716123e+02	2.411852e+02	2.327255e-01	0	3.563774e+02	1.080944e+02	3.154104e-01	0	3.369492e+02	1.552423e+02	4.016807e-01	0	1.995874e+02	1.339927e+02	
4.000000e-01	3.881797e-01	0	1.957775e+02	1.242144e+02	7.611367e-01	0	1.471025e+02	4.687414e+02	1.467851e-01	0	2.619492e+02	4.506513e+01	3.400118e-01	0	2.324209e+02	1.197383e+02	6.468614e-01	0	1.209474e+02	2.215453e+02	6.588355e-01	0	1.531644e+02	2.957815e+02	8.178748e-01	0	5.402835e+01	2.426268e+02	1.812680e-01	0	1.993593e+02	4.413833e+01	6.511198e-01	0	1.571345e+02	2.932623e+02	3.584025e-01	0	2.857843e+02	1.596418e+02	5.215423e-01	0	1.001699e+02	1.091900e+02	6.310520e-01	0	1.120850e+02	1.917113e+02	3.669499e-01	0	1.777519e+02	1.030346e+02	5.097485e-01	0	1.379489e+02	1.434351e+02	4.110779e-01	0	2.508445e+02	1.750939e+02	7.396840e-01	0	9.982527e+01	2.836521e+02	5.011930e-01	0	2.160842e+02	2.171179e+02	2.970911e-01	0	3.546690e+02	1.499042e+02	6.336110e-01	0	1.218501e+02	2.107203e+02	7.588236e-01	0	9.487963e+01	2.985239e+02	7.885519e-01	0	7.025821e+01	2.620135e+02	6.214525e-01	0	1.090468e+02	1.790195e+02	5.895841e-01	0	2.240633e+02	3.218788e+02	2.091756e-01	0	3.799068e+02	1.004866e+02	3.135610e-01	0	3.246943e+02	1.483183e+02	2.140602e-01	0	1.976267e+02	5.382603e+01	
4.500000e-01	3.977418e-01	0	1.791109e+02	1.182879e+02	7.250190e-01	0	1.510241e+02	3.981923e+02	1.959348e-01	0	3.080276e+02	7.506023e+01	4.956540e-01	0	1.887934e+02	1.855398e+02	6.975943e-01	0	8.467287e+01	1.953247e+02	4.552355e-01	0	2.198311e+02	1.837031e+02	9.559258e-01	0	1.040089e+01	2.255851e+02	5.427151e-01	0	1.106339e+02	1.313025e+02	5.610546e-01	0	2.488012e+02	3.180147e+02	3.433043e-01	0	2.480392e+02	1.296688e+02	6.204237e-01	0	1.104640e+02	1.805552e+02	6.494188e-01	0	8.904582e+01	1.649490e+02	3.099976e-01	0	1.684382e+02	7.567426e+01	4.641843e-01	0	1.428509e+02	1.237537e+02	5.378656e-01	0	1.763347e+02	2.052311e+02	8.261216e-01	0	5.913900e+01	2.809781e+02	4.574171e-01	0	2.709862e+02	2.284512e+02	7.625619e-01	0	1.027082e+02	3.298601e+02	5.120263e-01	0	1.130266e+02	1.185977e+02	7.392967e-01	0	1.336051e+02	3.788744e+02	9.866422e-01	0	4.081732e+00	3.014866e+02	6.953346e-01	0	9.238013e+01	2.108381e+02	5.803713e-01	0	2.363182e+02	3.268420e+02	3.048117e-01	0	3.632402e+02	1.592660e+02	2.896714e-01	0	3.129296e+02	1.276124e+02	3.548534e-01	0	1.814502e+02	9.980398e+01	
