	LoMid	MidHi	LoHi	HiMid	HiLo	MidLo
0	17	16	1	18	0	19
1	23	5	0	5	0	23
2	14	37	1	39	0	16
3	29	6	0	6	0	29
4	0	16	0	16	0	1
5	7	7	0	7	0	7
6	5	19	0	20	0	6
7	5	25	0	25	0	6
8	19	13	0	14	0	20
9	35	26	2	26	2	35
10	5	21	0	21	0	6
11	0	7	0	8	0	1
12	5	10	0	11	0	6
13	23	15	0	15	0	24
14	17	8	0	8	0	18
15	68	12	0	12	0	69
16	22	11	0	11	0	22
17	7	1	0	1	0	8
18	22	10	0	11	0	23
19	20	23	0	23	0	20
20	26	3	0	4	0	27
21	25	5	0	6	0	26
22	2	1	0	2	0	3
23	46	30	1	29	2	45
24	6	14	0	15	0	7
25	4	5	0	5	1	4
26	4	37	0	37	0	5
27	28	2	0	2	0	28
28	12	6	0	6	0	12
29	11	17	0	17	0	12
30	18	6	0	6	0	18
31	12	39	1	40	0	14
32	42	14	4	15	4	43
33	26	13	0	13	0	26
34	6	1	0	1	0	6
35	9	14	0	15	0	10
36	3	13	0	14	0	4
37	36	16	0	17	0	37
38	1	22	0	22	0	2
