Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
0	1.412882e-01	0	4.081653e+02	6.715749e+01	
5.000000e-02	4.318141e-01	0	3.036207e+02	2.307479e+02	
1.000000e-01	4.115174e-01	0	2.780398e+02	1.944292e+02	
1.500000e-01	5.535281e-01	0	2.353837e+02	2.918246e+02	
2.000000e-01	7.727925e-01	0	1.130920e+02	3.846558e+02	
2.500000e-01	7.706035e-01	0	1.176035e+02	3.950614e+02	
3.000000e-01	8.396231e-01	0	8.628532e+01	4.517306e+02	
3.500000e-01	8.018238e-01	0	9.635307e+01	3.898460e+02	
4.000000e-01	7.836719e-01	0	1.030825e+02	3.734277e+02	
4.500000e-01	7.892101e-01	0	9.591545e+01	3.591133e+02	
5.000000e-01	7.878909e-01	0	1.123242e+02	4.172343e+02	
5.500000e-01	8.262166e-01	0	9.032542e+01	4.294332e+02	
6.000000e-01	7.897284e-01	0	1.102169e+02	4.139476e+02	
6.500000e-01	7.877889e-01	0	1.077903e+02	4.001487e+02	
7.000000e-01	8.321312e-01	0	8.512358e+01	4.219604e+02	
7.500000e-01	7.994995e-01	0	1.036057e+02	4.131296e+02	
8.000000e-01	7.879706e-01	0	1.130124e+02	4.199911e+02	
8.500000e-01	7.842135e-01	0	1.078337e+02	3.918903e+02	
9.000000e-01	8.300098e-01	0	8.446546e+01	4.124188e+02	
9.500000e-01	7.904384e-01	0	1.138365e+02	4.293760e+02	
1	8.283332e-01	0	7.617600e+01	3.675673e+02	
1.050000e+00	8.080069e-01	0	9.834116e+01	4.138708e+02	
1.100000e+00	7.840816e-01	0	1.018974e+02	3.700282e+02	
1.150000e+00	7.715595e-01	0	1.220591e+02	4.122553e+02	
1.200000e+00	7.984394e-01	0	9.953672e+01	3.942935e+02	
1.250000e+00	8.313509e-01	0	9.032399e+01	4.452495e+02	
1.300000e+00	8.104356e-01	0	9.858026e+01	4.214554e+02	
1.350000e+00	7.800416e-01	0	1.044116e+02	3.702764e+02	
1.400000e+00	8.440190e-01	0	7.225975e+01	3.910003e+02	
1.450000e+00	7.959858e-01	0	9.912054e+01	3.867306e+02	
1.500000e+00	4.723257e-01	0	2.751787e+02	2.463148e+02	
1.550000e+00	4.035889e-01	0	2.927026e+02	1.980706e+02	
1.600000e+00	4.489575e-01	0	2.912407e+02	2.372861e+02	
1.650000e+00	4.228703e-01	0	3.180735e+02	2.330566e+02	
1.700000e+00	4.479025e-01	0	2.647285e+02	2.147674e+02	
1.750000e+00	7.882347e-01	0	9.784886e+01	3.642138e+02	
1.800000e+00	7.909905e-01	0	1.071016e+02	4.053232e+02	
1.850000e+00	7.732108e-01	0	1.037457e+02	3.537085e+02	
1.900000e+00	8.364533e-01	0	7.641048e+01	3.907985e+02	
1.950000e+00	7.989706e-01	0	9.205008e+01	3.658436e+02	
2	8.009821e-01	0	9.062807e+01	3.647484e+02	
2.050000e+00	6.209012e-01	0	1.712238e+02	2.804362e+02	
2.100000e+00	3.594366e-01	0	3.357929e+02	1.884220e+02	
2.150000e+00	2.294864e-01	0	3.816356e+02	1.136647e+02	
2.200000e+00	1.747932e-01	0	4.202770e+02	8.902198e+01	
2.250000e+00	2.472860e-01	0	3.558458e+02	1.169045e+02	
2.300000e+00	4.479046e-01	0	2.594063e+02	2.104514e+02	
2.350000e+00	6.596075e-01	0	1.629999e+02	3.158588e+02	
2.400000e+00	7.834909e-01	0	1.095651e+02	3.964879e+02	
2.450000e+00	7.548012e-01	0	1.266595e+02	3.898989e+02	
2.500000e+00	6.902486e-01	0	1.589168e+02	3.541295e+02	
2.550000e+00	2.357239e-01	0	4.142834e+02	1.277764e+02	
2.600000e+00	2.095259e-01	0	3.695841e+02	9.796326e+01	
2.650000e+00	1.707366e-01	0	3.814556e+02	7.853770e+01	
2.700000e+00	1.879807e-01	0	4.128939e+02	9.558407e+01	
2.750000e+00	2.401168e-01	0	3.718947e+02	1.175157e+02	
2.800000e+00	2.232415e-01	0	4.399715e+02	1.264485e+02	
2.850000e+00	2.099731e-01	0	4.184510e+02	1.112158e+02	
2.900000e+00	1.954802e-01	0	4.086654e+02	9.929649e+01	
2.950000e+00	1.821762e-01	0	3.935472e+02	8.766552e+01	
3	2.323622e-01	0	3.810746e+02	1.153504e+02	
3.050000e+00	4.622442e-01	0	2.788410e+02	2.396862e+02	
3.100000e+00	4.802397e-01	0	2.511387e+02	2.320432e+02	
3.150000e+00	6.409105e-01	0	1.665610e+02	2.972816e+02	
3.200000e+00	8.120897e-01	0	8.687091e+01	3.754290e+02	
3.250000e+00	7.679597e-01	0	1.136468e+02	3.761248e+02	
3.300000e+00	8.409802e-01	0	8.339568e+01	4.410400e+02	
3.350000e+00	7.764909e-01	0	9.986793e+01	3.469503e+02	
3.400000e+00	7.832319e-01	0	1.053368e+02	3.806054e+02	
3.450000e+00	7.605383e-01	0	1.167523e+02	3.708091e+02	
3.500000e+00	8.041472e-01	0	8.685366e+01	3.566103e+02	
3.550000e+00	8.217948e-01	0	8.430215e+01	3.887601e+02	
3.600000e+00	7.961547e-01	0	1.028046e+02	4.015218e+02	
3.650000e+00	8.055993e-01	0	1.000838e+02	4.147486e+02	
3.700000e+00	8.317712e-01	0	8.292427e+01	4.100013e+02	
3.750000e+00	7.391656e-01	0	1.376467e+02	3.900703e+02	
3.800000e+00	4.420524e-01	0	2.747923e+02	2.177132e+02	
3.850000e+00	4.568588e-01	0	2.770748e+02	2.330592e+02	
3.900000e+00	4.538791e-01	0	2.822852e+02	2.346062e+02	
3.950000e+00	4.555343e-01	0	2.983435e+02	2.496130e+02	
4	4.426228e-01	0	2.736104e+02	2.172788e+02	
4.050000e+00	4.498772e-01	0	2.617185e+02	2.140271e+02	
4.100000e+00	4.457502e-01	0	2.899275e+02	2.331714e+02	
4.150000e+00	4.360041e-01	0	3.062285e+02	2.367337e+02	
4.200000e+00	4.311195e-01	0	2.729314e+02	2.068379e+02	
4.250000e+00	4.169422e-01	0	2.807599e+02	2.007703e+02	
4.300000e+00	4.580053e-01	0	2.473130e+02	2.089885e+02	
4.350000e+00	3.903778e-01	0	3.079086e+02	1.971725e+02	
4.400000e+00	1.726108e-01	0	4.085615e+02	8.523450e+01	
4.450000e+00	2.108673e-01	0	3.981834e+02	1.064002e+02	
4.500000e+00	2.239997e-01	0	4.118888e+02	1.188955e+02	
4.550000e+00	2.099469e-01	0	4.199702e+02	1.116019e+02	
4.600000e+00	2.167568e-01	0	4.179841e+02	1.156741e+02	
4.650000e+00	1.769226e-01	0	3.837423e+02	8.248637e+01	
4.700000e+00	2.271833e-01	0	3.523154e+02	1.035694e+02	
4.750000e+00	1.627848e-01	0	4.849572e+02	9.429317e+01	
4.800000e+00	1.831237e-01	0	4.007880e+02	8.984687e+01	
4.850000e+00	2.133765e-01	0	4.336136e+02	1.176204e+02	
4.900000e+00	2.356888e-01	0	3.938838e+02	1.214610e+02	
4.950000e+00	1.996158e-01	0	4.136008e+02	1.031520e+02	
5	1.996090e-01	0	3.542270e+02	8.834046e+01	
5.050000e+00	1.826728e-01	0	4.247154e+02	9.492397e+01	
5.100000e+00	2.527727e-01	0	3.737655e+02	1.264377e+02	
5.150000e+00	2.630747e-01	0	3.437021e+02	1.226981e+02	
5.200000e+00	3.176664e-01	0	3.224761e+02	1.501316e+02	
5.250000e+00	2.185340e-01	0	3.655892e+02	1.022357e+02	
5.300000e+00	2.040731e-01	0	3.959390e+02	1.015175e+02	
5.350000e+00	2.077086e-01	0	3.937946e+02	1.032379e+02	
5.400000e+00	1.986476e-01	0	3.982878e+02	9.873174e+01	
5.450000e+00	2.041938e-01	0	4.402066e+02	1.129514e+02	
5.500000e+00	1.882815e-01	0	4.240815e+02	9.836745e+01	
5.550000e+00	1.648168e-01	0	4.005101e+02	7.903748e+01	
5.600000e+00	2.253434e-01	0	3.834930e+02	1.115560e+02	
5.650000e+00	1.517459e-01	0	4.088000e+02	7.313107e+01	
5.700000e+00	2.481857e-01	0	3.557338e+02	1.174333e+02	
5.750000e+00	2.104720e-01	0	3.795210e+02	1.011725e+02	
5.800000e+00	1.843228e-01	0	4.018595e+02	9.081024e+01	
5.850000e+00	2.105463e-01	0	3.994109e+02	1.065224e+02	
5.900000e+00	3.120096e-01	0	3.225557e+02	1.462818e+02	
