Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
0	7.686891e-01	0	1.203286e+02	3.998743e+02	
5.000000e-02	7.855284e-01	0	1.108746e+02	4.060917e+02	
1.000000e-01	7.733347e-01	0	1.049494e+02	3.580656e+02	
1.500000e-01	7.838140e-01	0	1.112363e+02	4.033034e+02	
2.000000e-01	8.152046e-01	0	8.803422e+01	3.883532e+02	
2.500000e-01	7.966668e-01	0	1.015085e+02	3.977142e+02	
3.000000e-01	7.739421e-01	0	1.198442e+02	4.103040e+02	
3.500000e-01	7.654870e-01	0	1.166385e+02	3.807261e+02	
4.000000e-01	8.336363e-01	0	7.821491e+01	3.919291e+02	
4.500000e-01	6.371146e-01	0	1.962884e+02	3.446217e+02	
5.000000e-01	4.599729e-01	0	2.818633e+02	2.400796e+02	
5.500000e-01	4.569548e-01	0	2.688555e+02	2.262331e+02	
6.000000e-01	6.477876e-01	0	1.840966e+02	3.385897e+02	
6.500000e-01	7.915258e-01	0	1.065783e+02	4.046519e+02	
7.000000e-01	8.183717e-01	0	8.428152e+01	3.797515e+02	
7.500000e-01	8.224635e-01	0	8.978529e+01	4.159433e+02	
8.000000e-01	7.910267e-01	0	1.111512e+02	4.207408e+02	
8.500000e-01	7.833132e-01	0	1.137294e+02	4.111268e+02	
9.000000e-01	8.487985e-01	0	7.204781e+01	4.044540e+02	
9.500000e-01	8.022983e-01	0	1.003540e+02	4.072494e+02	
1	8.232721e-01	0	8.317512e+01	3.874643e+02	
1.050000e+00	7.453950e-01	0	1.342229e+02	3.929579e+02	
1.100000e+00	7.406192e-01	0	1.229409e+02	3.510376e+02	
1.150000e+00	8.091661e-01	0	9.068823e+01	3.845324e+02	
1.200000e+00	8.042314e-01	0	9.497946e+01	3.901824e+02	
1.250000e+00	7.421541e-01	0	1.255036e+02	3.612351e+02	
1.300000e+00	7.819383e-01	0	1.114888e+02	3.997830e+02	
1.350000e+00	7.518973e-01	0	1.137331e+02	3.446783e+02	
1.400000e+00	8.163826e-01	0	9.753075e+01	4.336322e+02	
1.450000e+00	7.661664e-01	0	1.142768e+02	3.744332e+02	
1.500000e+00	7.831697e-01	0	1.103164e+02	3.984521e+02	
1.550000e+00	8.000149e-01	0	1.010273e+02	4.041466e+02	
1.600000e+00	7.895842e-01	0	1.148823e+02	4.310955e+02	
1.650000e+00	8.110743e-01	0	8.760204e+01	3.760830e+02	
1.700000e+00	8.109629e-01	0	8.482179e+01	3.638826e+02	
1.750000e+00	8.137342e-01	0	9.317809e+01	4.070645e+02	
1.800000e+00	7.907469e-01	0	1.059767e+02	4.004758e+02	
1.850000e+00	8.318117e-01	0	9.145348e+01	4.523031e+02	
1.900000e+00	7.902074e-01	0	1.121878e+02	4.225680e+02	
1.950000e+00	8.156641e-01	0	9.197547e+01	4.069804e+02	
2	7.866448e-01	0	1.085215e+02	4.001206e+02	
2.050000e+00	8.227784e-01	0	8.611164e+01	3.997866e+02	
2.100000e+00	7.128032e-01	0	1.566936e+02	3.889030e+02	
2.150000e+00	3.274721e-01	0	3.295282e+02	1.604562e+02	
2.200000e+00	2.921892e-01	0	3.339408e+02	1.378531e+02	
2.250000e+00	4.233883e-01	0	2.936608e+02	2.156261e+02	
2.300000e+00	4.452454e-01	0	2.999278e+02	2.407217e+02	
2.350000e+00	4.662916e-01	0	2.660943e+02	2.324819e+02	
2.400000e+00	3.882234e-01	0	2.805484e+02	1.780314e+02	
2.450000e+00	4.614529e-01	0	2.473921e+02	2.119774e+02	
2.500000e+00	3.583931e-01	0	3.300966e+02	1.843876e+02	
2.550000e+00	2.488878e-01	0	3.621310e+02	1.199954e+02	
2.600000e+00	2.422373e-01	0	3.749012e+02	1.198463e+02	
2.650000e+00	1.731656e-01	0	4.038195e+02	8.457273e+01	
2.700000e+00	2.398628e-01	0	3.752274e+02	1.184037e+02	
2.750000e+00	2.100712e-01	0	3.876291e+02	1.030848e+02	
2.800000e+00	2.431613e-01	0	3.679768e+02	1.182256e+02	
2.850000e+00	2.129164e-01	0	4.163707e+02	1.126337e+02	
